Tarih;Bölge Ad?;Bölge Türü;Giri? Say?s?;Ç?k?? Say?s?;Ödeme Al?nan (TL);Ödeme Al?nmayan (TL);Ciro (TL);Ba?ar? Oran?;Cihaz 1 Toplam;Cihaz 2 Toplam;Cihaz 3 Toplam;Cihaz 4 Toplam;Cihaz 5 Toplam
16 Haziran 2026 Sal?;Bölge_08;Özel;34;19;0;0;0;1;2;4;5;2;1
16 Haziran 2026 Sal?;Bölge_09;Halka Aç?k;19;10;0;0;0;1;3;4;3;2;1
16 Haziran 2026 Sal?;Bölge_10;Halka Aç?k;21;16;0;0;0;1;2;4;5;2;1
16 Haziran 2026 Sal?;Bölge_28;Halka Aç?k;35;22;0;0;0;1;2;4;5;2;1
17 Haziran 2026 Çar?amba;Bölge_08;Özel;41;25;0;0;0;1;2;4;5;2;1
17 Haziran 2026 Çar?amba;Bölge_15;Halka Aç?k;22;16;0;0;0;1;2;4;4;2;1
17 Haziran 2026 Çar?amba;Bölge_28;Halka Aç?k;95;80;0;0;0;1;2;4;5;2;1
18 Haziran 2026 Per?embe;Bölge_08;Özel;19;7;0;0;0;1;2;4;5;2;1
18 Haziran 2026 Per?embe;Bölge_09;Halka Aç?k;18;17;0;0;0;1;3;4;3;2;1
18 Haziran 2026 Per?embe;Bölge_10;Halka Aç?k;43;35;0;0;0;1;2;4;5;2;1
18 Haziran 2026 Per?embe;Bölge_15;Halka Aç?k;16;14;0;0;0;1;2;4;4;2;1
18 Haziran 2026 Per?embe;Bölge_28;Halka Aç?k;24;17;0;0;0;1;2;4;5;2;1
18 Haziran 2026 Per?embe;Bölge_30;Halka Aç?k;7;5;0;0;0;1;2;4;5;2;1
19 Haziran 2026 Cuma;Bölge_08;Özel;26;21;0;0;0;1;2;4;5;2;1
19 Haziran 2026 Cuma;Bölge_15;Halka Aç?k;18;12;0;0;0;1;2;4;4;2;1
19 Haziran 2026 Cuma;Bölge_16;Halka Aç?k;283;267;0;0;0;1;3;4;5;4;1
19 Haziran 2026 Cuma;Bölge_28;Halka Aç?k;55;50;0;0;0;1;2;4;5;2;1
19 Haziran 2026 Cuma;Bölge_30;Halka Aç?k;7;5;0;0;0;1;2;4;5;2;1
20 Haziran 2026 Cumartesi;Bölge_08;Özel;48;31;0;0;0;1;2;4;5;2;1
20 Haziran 2026 Cumartesi;Bölge_09;Halka Aç?k;16;11;0;0;0;1;3;4;3;2;1
20 Haziran 2026 Cumartesi;Bölge_10;Halka Aç?k;58;43;0;0;0;1;2;4;5;2;1
20 Haziran 2026 Cumartesi;Bölge_11;Halka Aç?k;531;531;0;0;0;1;3;4;5;4;1
20 Haziran 2026 Cumartesi;Bölge_15;Halka Aç?k;12;8;0;0;0;1;2;4;4;2;1
20 Haziran 2026 Cumartesi;Bölge_16;Halka Aç?k;139;127;0;0;0;1;3;4;5;4;1
20 Haziran 2026 Cumartesi;Bölge_28;Halka Aç?k;706;617;0;0;0;1;2;4;5;2;1
20 Haziran 2026 Cumartesi;Bölge_30;Halka Aç?k;7;5;0;0;0;1;2;4;5;2;1
21 Haziran 2026 Pazar;Bölge_08;Özel;44;25;0;0;0;1;2;4;5;2;1
21 Haziran 2026 Pazar;Bölge_09;Halka Aç?k;9;6;0;0;0;1;3;4;3;2;1
21 Haziran 2026 Pazar;Bölge_10;Halka Aç?k;50;36;0;0;0;1;2;4;5;2;1
21 Haziran 2026 Pazar;Bölge_11;Halka Aç?k;903;791;0;0;0;1;3;4;5;4;1
21 Haziran 2026 Pazar;Bölge_28;Halka Aç?k;16;11;0;0;0;1;2;4;5;2;1
21 Haziran 2026 Pazar;Bölge_30;Halka Aç?k;7;5;0;0;0;1;2;4;5;2;1
22 Haziran 2026 Pazartesi;Bölge_16;Halka Aç?k;281;262;0;0;0;1;3;4;5;4;1
22 Haziran 2026 Pazartesi;Bölge_24;Halka Aç?k;535;563;0;0;0;1;2;4;5;4;2
22 Haziran 2026 Pazartesi;Bölge_27;Halka Aç?k;538;536;0;0;0;1;2;4;5;4;2
22 Haziran 2026 Pazartesi;Bölge_29;Halka Aç?k;299;295;0;0;0;1;3;4;5;2;2
22 Haziran 2026 Pazartesi;Bölge_30;Halka Aç?k;7;5;0;0;0;1;2;4;5;2;1
22 Haziran 2026 Pazartesi;Bölge_31;Halka Aç?k;429;425;0;0;0;1;2;4;5;2;2
22 Haziran 2026 Pazartesi;Bölge_32;Halka Aç?k;61;41;0;0;0;1;4;4;5;2;2
22 Haziran 2026 Pazartesi;Bölge_33;Halka Aç?k;28;26;0;0;0;1;2;4;5;3;2
22 Haziran 2026 Pazartesi;Bölge_35;Halka Aç?k;135;124;0;0;0;1;2;4;5;2;2
23 Haziran 2026 Sal?;Bölge_08;Özel;17;11;0;0;0;1;2;4;5;2;1
23 Haziran 2026 Sal?;Bölge_10;Halka Aç?k;55;42;0;0;0;1;2;4;5;2;1
23 Haziran 2026 Sal?;Bölge_24;Halka Aç?k;627;582;0;0;0;1;2;4;5;4;2
23 Haziran 2026 Sal?;Bölge_27;Halka Aç?k;549;530;0;0;0;1;2;4;5;4;2
23 Haziran 2026 Sal?;Bölge_28;Halka Aç?k;31;21;0;0;0;1;2;4;5;2;1
23 Haziran 2026 Sal?;Bölge_29;Halka Aç?k;299;283;0;0;0;1;3;4;5;2;2
23 Haziran 2026 Sal?;Bölge_30;Halka Aç?k;7;5;0;0;0;1;2;4;5;2;1
23 Haziran 2026 Sal?;Bölge_33;Halka Aç?k;25;20;0;0;0;1;2;4;5;3;2
23 Haziran 2026 Sal?;Bölge_35;Halka Aç?k;141;131;0;0;0;1;2;4;5;2;2
24 Haziran 2026 Çar?amba;Bölge_08;Özel;28;16;0;0;0;1;2;4;5;2;1
24 Haziran 2026 Çar?amba;Bölge_09;Halka Aç?k;16;10;0;0;0;1;3;4;3;2;1
24 Haziran 2026 Çar?amba;Bölge_10;Halka Aç?k;40;31;0;0;0;1;2;4;5;2;1
24 Haziran 2026 Çar?amba;Bölge_24;Halka Aç?k;627;613;0;0;0;1;2;4;5;4;2
24 Haziran 2026 Çar?amba;Bölge_27;Halka Aç?k;575;588;0;0;0;1;2;4;5;4;2
24 Haziran 2026 Çar?amba;Bölge_28;Halka Aç?k;117;101;0;0;0;1;2;4;5;2;1
24 Haziran 2026 Çar?amba;Bölge_29;Halka Aç?k;368;344;0;0;0;1;3;4;5;2;2
24 Haziran 2026 Çar?amba;Bölge_30;Halka Aç?k;7;5;0;0;0;1;2;4;5;2;1
